Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
Nodes keep percentage is :  1.0
** Start training **
Epoch #40 cost=0.019481
Epoch #41 cost=0.019341
Epoch #42 cost=0.019221
Epoch #43 cost=0.019104
Epoch #44 cost=0.018995
Epoch #45 cost=0.018908
Epoch #46 cost=0.018831
Epoch #47 cost=0.018758
Epoch #48 cost=0.018682
Epoch #49 cost=0.018601
** Start training **
Epoch #0 cost=0.038283
Epoch #1 cost=0.034736
Epoch #2 cost=0.030801
Epoch #3 cost=0.027855
Epoch #4 cost=0.026722
Epoch #5 cost=0.026305
Epoch #6 cost=0.025998
Epoch #7 cost=0.025662
Epoch #8 cost=0.025404
Epoch #9 cost=0.025218
Epoch #10 cost=0.025016
Epoch #11 cost=0.024818
Epoch #12 cost=0.024683
Epoch #13 cost=0.024489
Epoch #14 cost=0.024305
Epoch #15 cost=0.024120
Epoch #16 cost=0.023922
Epoch #17 cost=0.023717
Epoch #18 cost=0.023498
Epoch #19 cost=0.023306
Epoch #20 cost=0.023089
Epoch #21 cost=0.022879
Epoch #22 cost=0.022672
Epoch #23 cost=0.022472
Epoch #24 cost=0.022265
Epoch #25 cost=0.022042
Epoch #26 cost=0.021844
Epoch #27 cost=0.021642
Epoch #28 cost=0.021451
Epoch #29 cost=0.021254
Epoch #30 cost=0.021082
Epoch #31 cost=0.020906
Epoch #32 cost=0.020752
Epoch #33 cost=0.020598
Epoch #34 cost=0.020444
Epoch #35 cost=0.020328
Epoch #36 cost=0.020184
Epoch #37 cost=0.020063
Epoch #38 cost=0.019952
Epoch #39 cost=0.019823
Epoch #40 cost=0.019719
Epoch #41 cost=0.019581
Epoch #42 cost=0.019506
Epoch #43 cost=0.019363
Epoch #44 cost=0.019300
Epoch #45 cost=0.019176
Epoch #46 cost=0.019135
Epoch #47 cost=0.019003
Epoch #48 cost=0.019073
Epoch #49 cost=0.018953
** Start training **
Epoch #0 cost=0.038488
Epoch #1 cost=0.034869
Epoch #2 cost=0.030777
Epoch #3 cost=0.027978
Epoch #4 cost=0.027233
Epoch #5 cost=0.026713
Epoch #6 cost=0.026292
Epoch #7 cost=0.025923
Epoch #8 cost=0.025540
Epoch #9 cost=0.025267
Epoch #10 cost=0.024973
Epoch #11 cost=0.024740
Epoch #12 cost=0.024491
Epoch #13 cost=0.024287
Epoch #14 cost=0.024056
Epoch #15 cost=0.023856
Epoch #16 cost=0.023648
Epoch #17 cost=0.023446
Epoch #18 cost=0.023241
Epoch #19 cost=0.023033
Epoch #20 cost=0.022835
Epoch #21 cost=0.022641
Epoch #22 cost=0.022468
Epoch #23 cost=0.022300
Epoch #24 cost=0.022111
Epoch #25 cost=0.021919
Epoch #26 cost=0.021730
Epoch #27 cost=0.021559
Epoch #28 cost=0.021390
Epoch #29 cost=0.021242
